State,Year,Type,Admission
New South Wales,2019,Public,1809760.00
New South Wales,2019,Private,1253139.00
New South Wales,2019,All,3062899.00
New South Wales,2020,Public,1898959.00
New South Wales,2020,Private,1453573.00
New South Wales,2020,All,3352532.00
New South Wales,2021,Public,1768912.00
New South Wales,2021,Private,1359031.00
New South Wales,2021,All,3127943.00
Victoria,2019,Public,1834131.00
Victoria,2019,Private,1025256.00
Victoria,2019,All,2859387.00
Victoria,2020,Public,1822038.00
Victoria,2020,Private,1075759.00
Victoria,2020,All,2897797.00
Victoria,2021,Public,1814006.00
Victoria,2021,Private,1083287.00
Victoria,2021,All,2897293.00
Queensland,2019,Public,1596532.00
Queensland,2019,Private,1128472.00
Queensland,2019,All,2725004.00
Queensland,2020,Public,1685357.00
Queensland,2020,Private,1245123.00
Queensland,2020,All,2930480.00
Queensland,2021,Public,1720372.00
Queensland,2021,Private,1225399.00
Queensland,2021,All,2945771.00
Western Australia,2019,Public,612154.00
Western Australia,2019,Private,504158.00
Western Australia,2019,All,1116312.00
Western Australia,2020,Public,644476.00
Western Australia,2020,Private,559132.00
Western Australia,2020,All,1203608.00
Western Australia,2021,Public,616935.00
Western Australia,2021,Private,549530.00
Western Australia,2021,All,1166465.00
South Australia,2019,Public,446766.00
South Australia,2019,Private,336941.00
South Australia,2019,All,783707.00
South Australia,2020,Public,466248.00
South Australia,2020,Private,346048.00
South Australia,2020,All,812296.00
South Australia,2021,Public,466236.00
South Australia,2021,Private,350699.00
South Australia,2021,All,816935.00
Tasmania,2019,Public,130473.00
Tasmania,2019,Private,
Tasmania,2019,All,
Tasmania,2020,Public,140192.00
Tasmania,2020,Private,
Tasmania,2020,All,
Tasmania,2021,Public,157344.00
Tasmania,2021,Private,
Tasmania,2021,All,
Australian Capital Territory,2019,Public,118737.00
Australian Capital Territory,2019,Private,
Australian Capital Territory,2019,All,
Australian Capital Territory,2020,Public,129547.00
Australian Capital Territory,2020,Private,
Australian Capital Territory,2020,All,
Australian Capital Territory,2021,Public,121079.00
Australian Capital Territory,2021,Private,
Australian Capital Territory,2021,All,
Northern Territory,2019,Public,181489.00
Northern Territory,2019,Private,
Northern Territory,2019,All,
Northern Territory,2020,Public,182370.00
Northern Territory,2020,Private,
Northern Territory,2020,All,
Northern Territory,2021,Public,172211.00
Northern Territory,2021,Private,
Northern Territory,2021,All,
